Fecha,Producto,Cantidad,Precio,Cliente
2025-12-01,Silla Ergonomica,2,150.0,Laura Jiménez
2025-12-02,Escritorio Modular,1,300.5,Fernando López
2025-12-03,Lámpara de Mesa,4,25.99,María Ortega
2025-12-04,Monitor 27 Pulgadas,3,220.0,Carlos Mendoza
2025-12-05,Teclado Inalámbrico,5,45.0,Patricia Ruiz
2025-12-06,Ratón Gamer,6,35.0,David Fernández
2025-12-07,Altavoz Inteligente,2,99.99,Andrea Castillo
2025-12-08,Cámara Web HD,3,70.0,Ricardo Salazar
2025-12-09,Tablet 10 Pulgadas,1,250.0,Sofía Navarro
2025-12-10,Cafetera Espresso,2,120.0,Javier Torres
