Fecha,Producto,Cantidad,Precio,Cliente
2025-12-01,Smartphone Ultra,3,799.99,Valeria Morales
2025-12-02,Auriculares Noise-Cancelling,5,129.5,Luis Herrera
2025-12-03,Tablet Pro,2,450.0,Mariana Soto
2025-12-04,Router WiFi 6,4,89.99,Camilo Reyes
2025-12-05,Disco SSD 1TB,6,150.0,Sergio Gómez
2025-12-06,Teclado Retroiluminado,3,70.0,Isabel Castro
2025-12-07,"Monitor Curvo 32""",2,320.0,Andrés Fuentes
2025-12-08,Cámara Digital Compacta,1,220.0,Paula Jiménez
2025-12-09,Proyector LED,2,280.0,Juan Pérez
2025-12-10,Power Bank 20000mAh,5,45.0,Sofía Martínez
