Fecha,Producto,Cantidad,Precio,Cliente
2025-12-01,Sofá 3 Plazas,1,500.0,Carlos Ramírez
2025-12-02,Mesa de Comedor,1,350.5,Ana López
2025-12-03,Silla de Oficina,4,120.0,Julio Torres
2025-12-04,Lámpara de Techo,2,80.0,María Gómez
2025-12-05,Cortinas Blackout,5,60.0,Patricia Herrera
2025-12-06,Alfombra Moderna,3,90.0,Diego Fernández
2025-12-07,Estantería Modular,2,150.0,Lucía Castillo
2025-12-08,Cojines Decorativos,6,25.0,Andrés Navarro
2025-12-09,Vajilla 12 Piezas,2,75.0,Sofía Jiménez
2025-12-10,Organizador de Cocina,4,30.0,Valentina Morales
